country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,Development_Index,Trade_Balance,Health_Impact_Ratio,Segment
Romania,2.5257286443082556,32.6,5.58,38.8,9.787009914477434,1.5107219394949427,73.7,1.59,9.015662792972645,36.62415315909149,-6.199999999999996,2.2092634585170354,Emerging Economy
Russia,2.3978952727983707,29.2,5.08,21.1,10.047631185616188,2.7212954278522306,69.2,1.57,9.278092474027002,36.91809424034298,8.099999999999998,2.1185245484351714,Emerging Economy
Rwanda,4.168214410788556,12.0,10.5,30.0,7.208600337960199,1.2837077723447896,64.6,4.51,6.335054251498059,18.747513176673362,-18.0,2.519064271939307,Low GDP Trap
Samoa,2.990719731730447,29.2,6.47,53.1,8.594339400592892,1.000631880307906,71.5,4.34,8.146419323098003,29.504857238038255,-23.900000000000002,2.1633588501642786,Other
Saudi Arabia,2.8154087194227095,49.6,4.29,33.0,10.723289410218579,2.9014215940827497,75.1,2.96,9.867912187022208,33.98838716989622,16.6,1.5237574460874905,High Inflation Risk
Senegal,4.216562194946349,24.9,5.66,40.3,7.687538766201629,1.0473189942805592,64.0,5.06,6.90875477931522,18.63989902478289,-15.399999999999999,1.3423257474498171,Low GDP Trap
Serbia,2.151762203259462,32.9,10.4,47.9,9.44943600950432,1.9286186519452522,74.7,1.4,8.596189197642735,43.10217228774498,-15.0,4.833247830195276,Emerging Economy
Seychelles,2.7343675094195836,93.8,3.4,108.0,9.923339198238729,-1.6505798557652755,73.4,2.17,9.287394001418473,33.86916092318381,-14.200000000000003,1.2434319777013838,Emerging Economy
Sierra Leone,4.968944867042047,16.8,13.1,34.5,7.107425474110705,2.9014215940827497,55.0,5.2,5.991464547107982,13.704899499470026,-17.7,2.636374592700658,High Risk Country
Singapore,1.33500106673234,200.0,3.96,174.0,10.858393044780485,-0.044973365642731154,82.7,1.15,10.408224678961561,77.87755404437198,26.0,2.9662897646163136,Developed Nation
Slovak Republic,2.0794415416798357,76.3,8.79,77.8,10.134638955251866,0.3954147722546629,75.5,1.43,9.717218213494077,45.854550492300845,-1.5,4.227096469804663,Emerging Economy
Slovenia,1.4350845252893227,64.3,9.41,62.9,10.264687244346277,-0.6866259635696798,79.5,1.57,10.060534035475412,69.5605168341539,1.3999999999999986,6.557105058395694,Emerging Economy
Solomon Islands,3.370738174177447,49.3,8.55,81.2,7.484930283289661,2.0554049638515943,61.7,4.24,7.1631723908466425,22.65026196903215,-31.900000000000006,2.5365363781440653,Low GDP Trap
South Africa,4.001863709427935,28.6,8.94,27.4,9.392745258631441,1.9947003132247452,54.3,2.59,8.893023494394711,18.137991201954815,1.2000000000000028,2.233959137323537,Emerging Economy
South Korea,1.62924053973028,49.4,6.93,46.2,10.322230781590136,1.425515074273172,80.1,1.23,10.003378135350923,61.63952250633689,3.1999999999999957,4.253515568147634,Developed Nation
Spain,1.5686159179138452,25.5,9.54,26.8,10.389026137075234,0.14842000511827327,81.9,1.37,10.332050506334692,65.42141736001834,-1.3000000000000007,6.081794715361275,Developed Nation
Sri Lanka,2.501435951739211,19.6,2.94,26.8,9.054972284742485,3.169685580677429,74.4,2.2,7.941295570906532,36.53752069570383,-7.199999999999999,1.17532491605706,Emerging Economy
St. Vincent and the Grenadines,3.077312260546414,26.9,4.47,57.1,9.202409001649903,1.6937790608678513,71.6,2.07,8.737292112544221,29.096722572539736,-30.200000000000003,1.452566272623337,Emerging Economy
Sudan,4.3528552573736015,19.7,6.32,17.2,8.12296471523406,3.0252910757955354,66.3,4.88,7.300472814267799,18.7746737939574,2.5,1.4519205501478867,High Inflation Risk
Suriname,3.2228678461377385,52.5,7.01,38.4,9.561067663645012,2.1041341542702074,70.3,2.52,9.024131268455035,27.579535735112266,14.100000000000001,2.175081428920746,Emerging Economy
Sweden,1.3862943611198906,46.2,9.63,40.7,10.666650414667744,0.6886370250820593,81.5,1.98,10.408224678961561,73.99213180869192,5.5,6.94657662188036,Developed Nation
Switzerland,1.7047480922384253,64.0,11.5,53.3,10.858393044780485,0.27535642276114397,82.2,1.52,10.408224678961561,60.6932004762562,10.700000000000003,6.745864713008645,Developed Nation
Tajikistan,3.977810745966149,14.9,5.98,58.6,7.65491704784832,2.6026896854443837,69.6,3.51,6.6052979209482015,21.082002217887858,-43.7,1.5033394954911437,Low GDP Trap
Tanzania,4.289088639014612,18.7,6.01,29.1,7.645397699428633,2.327277705584417,59.3,5.43,6.555356891810665,17.136683518885164,-10.400000000000002,1.401230076089254,Low GDP Trap
Thailand,2.766319109226186,66.5,3.88,60.8,9.510519035757246,1.6253112615903906,76.6,1.55,8.533263371593732,34.21289398308982,5.700000000000003,1.402585835834876,Emerging Economy
Timor-Leste,4.152613470346076,2.2,9.12,27.8,7.523481312573497,3.3141860046725258,71.1,6.23,8.188966863648876,20.905496934918787,-25.6,2.19620729574909,High Inflation Risk
Togo,4.514150787600923,40.2,7.65,57.3,7.099201743553092,0.7793248768009976,58.7,4.87,6.192362489474872,15.947975072247951,-17.099999999999994,1.6946709048825652,High Risk Country
Tonga,2.91235066461494,12.4,5.07,60.3,8.513385953073284,1.5432981099295553,69.9,3.91,8.174984532943087,29.73143706149986,-47.9,1.7408617930527732,Other
Tunisia,2.91235066461494,50.5,6.21,55.3,9.249657234353133,1.5727739280625088,76.9,2.14,8.328692583545568,32.440581749241474,-4.799999999999997,2.1322981725557635,Emerging Economy
